expID,subID,ObjGazeProp
185,18511,0.905780683583635
185,18512,0.897041688244433
185,18513,0.891636457793889
185,18514,0.693325996892802
185,18515,0.626132832729156
185,18516,0.874546866908338
185,18517,0.840367685137235
185,18518,0.904194717762817
185,18519,0.872087001553599
185,18520,0.913710512687727
185,18521,0.854770844122216
185,18522,0.752848265147592
185,18523,0.857910409114448
185,18524,0.226113412739513
185,18525,0.850919212843086
185,18526,0.749741066804764
185,18527,0.767834023821854
185,18528,0.889144225789746
185,18529,0.792011910926981
185,18530,0.744756602796478
185,18531,0.879693164163646
185,18532,0.865904971517349
185,18533,0.887169860176075
185,18534,0.616099171413775
185,18535,0.825446659761781
185,18536,0.895973588814086
185,18538,0.905554117037804
185,18539,0.76569782496116
185,18540,0.870986535473848
185,18541,0.872216468151217
185,18542,0.307871569135163
185,18543,0.40726954945624
185,18544,0.778353184878301
185,18545,0.826061626100466
185,18546,0.873640600725013
185,18547,0.796090108751942
185,18548,0.859237441740031
185,18549,0.800200673226308
185,18550,0.743785603314345
185,18551,0.824961160020715
185,18552,0.855871310201968
185,18553,0.889597358881409
185,18554,0.854511910926981
185,18555,0.79680217503884
185,18556,0.812111600207147
185,18557,0.780910150181253
185,18558,0.78408208182289
185,18559,0.901281719316416
185,18560,0.797578974624547
185,18561,0.932353702744692
185,18562,0.844801916105645
185,18563,0.879790264111859
185,18564,0.816578197824961
185,18565,0.82434619368203
185,18566,0.86998316934231
185,18567,0.932062402900052
185,18568,0.859561108234076
185,18569,0.770261522527188
185,18570,0.83887881926463
185,18571,0.850919212843086
185,18572,0.889435525634386
186,18611,0.854997410668048
186,18612,0.885519161056447
186,18613,0.884321595028483
186,18614,0.689085965820818
186,18615,0.892316157431383
186,18616,0.90523045054376
186,18617,0.835383221128949
186,18618,0.748090367685137
186,18619,0.82020326255826
186,18620,0.9149728120145
186,18621,0.884645261522527
186,18622,0.84658208182289
186,18623,0.739804505437597
186,18624,0.774889953392025
186,18625,0.86729673744174
186,18626,0.81162610046608
186,18627,0.779453650958053
186,18628,0.879401864319006
186,18629,0.801560072501295
186,18630,0.58175815639565
186,18631,0.922222941481098
186,18632,0.728249611600207
186,18633,0.889726825479026
186,18634,0.809878301398239
186,18635,0.652511651993786
186,18636,0.901152252718799
